Column1;X;English;German;Hungarian;Conc.M;GermanMutuality;GermanJointness;EnglishMutuality;EnglishJointness;HungarianMutuality;HungarianJointness;V.Mean.Sum;A.Mean.Sum;D.Mean.Sum;en_log_freq;de_log_freq;hu_log_freq
1;1;to agree;zustimmen;egyetérteni;2.31;0.766666667;0.114754098;0.766666667;0.523809524;0.75;0.45;7.17;3.62;6.94;2.164230939;1.276876369;1.615875805
2;2;to argue;argumentieren;vitatkozni;2.75;0.733333333;0.508196721;0.966666667;0.904761905;0.8;0.9;3.15;6.67;4.77;1.857846529;1.031394324;1.184768916
3;3;to banter;scherzen;élcelődni;2.85;0.533333333;0.475409836;0.966666667;0.841269841;0.58974359;0.2;5.48;3.5;5.27;0.11174293;0.398611777;0.166992231
4;4;to bargain;feilschen;alkudozni;2.59;0.728813559;0.540983607;0.766666667;0.492063492;0.8;0.55;7.63;5.48;6.11;0.401591795;0.155093008;0.375914061
5;5;to battle;fechten;csatázni;4;0.766666667;0.639344262;0.733333333;0.714285714;0.9;0.85;3.52;6.25;5.63;1.099046689;0.293746951;0.121513885
6;6;to bicker;zanken;civakodni;3.15;1;0.770491803;0.933333333;0.80952381;0.95;0.85;2.81;5.13;4.54;0.165873197;0.121169033;0.121362841
7;7;to bond;annähern;kötődni;3.62;0.8;0.31147541;1;0.80952381;0.7;0.3;NA;NA;NA;0.924833692;0.546891686;1.288472801
8;8;to bow;verbeugen;meghajolni;4.61;-0.033333333;-0.213114754;0.288135593;-0.333333333;0;-0.435897436;5.46;3.85;5.95;0.879573513;0.248198943;0.545502567
9;9;to brawl;raufen;dulakodni;3.63;0.933333333;0.770491803;0.866666667;0.936507937;0.9;0.85;3.64;5.38;4.73;0.153680746;0.253272565;0.179336314
10;10;to chat;chatten;dumálni;3.66;0.966666667;0.836065574;0.9;0.80952381;0.85;0.7;5.75;4.27;6.22;1.113157236;0.443062618;0.572442902
11;11;to chatter;plaudern;csacsogni;3.33;0.93220339;0.901639344;0.866666667;0.873015873;0.8;0.95;5.9;4.44;5.95;0.298057961;0.656455653;0.18750662
12;12;to chitchat;quatschen;csevegni;3.11;1;0.93442623;0.964912281;0.936507937;1;0.9;6;3.88;5.74;0.011523925;0.542535386;0.400978105
13;13;to clash;zusammenstoßen;összecsapni;2.63;0.966666667;0.901639344;0.866666667;0.682539683;0.55;0.85;3.96;5.67;4.32;0.597891451;0.190440959;0.728571281
14;14;to collaborate;zusammenarbeiten;együttműködni;1.81;0.966101695;1;0.966666667;1;1;1;6.15;4.3;6.23;1.324721468;1.184749333;1.198557848
15;15;to communicate;kommunizieren;kommunikálni;3.43;0.966666667;0.93442623;0.966666667;0.80952381;0.85;0.9;6.28;3.79;6.8;1.613746288;1.292537164;1.238976204
16;16;to compete;konkurrieren;versengeni;2.57;0.966666667;0.901639344;0.666666667;0.619047619;0.85;0.8;5.35;4.4;5.68;1.655809343;0.595503938;0.680864686
18;18;to conflict;konfligieren;összetűzni;2.21;0.294117647;0.555555556;0.966666667;0.666666667;0.35;0.25;3.05;5.41;4.11;0.689636455;0.010240576;0.001603924
19;19;to connect;verbinden;kapcsolódni;2.88;0.633333333;0.147540984;0.966666667;0.777777778;0.55;0.5;6.61;3.47;5.96;2.106825313;2.114127354;1.708707644
20;20;to converse;unterhalten;társalogni;2.85;0.8;0.868852459;0.93220339;0.873015873;0.95;1;5.37;4.25;6.05;0.479072637;1.408012071;0.448039684
21;21;to cooperate;kooperieren;összedolgozni;1.87;0.966666667;0.901639344;0.933333333;0.904761905;1;0.9;6.39;3.83;6.18;0.996288338;0.883560372;0.587043861
23;23;to cuddle;kuscheln;ölelkezni;3.83;0.833333333;0.868852459;0.933333333;0.80952381;0.95;0.8;7.6;3.83;6.65;0.43176731;0.632942944;0.246207969
24;24;to date;verabreden;randizni;3.9;0.966666667;0.93442623;0.933333333;0.777777778;0.9;0.9;7.18;4.33;5.11;1.778297366;0.69614487;0.564515751
25;25;to debate;debattieren;vitázni;3.18;0.966666667;0.967213115;0.9;0.80952381;0.9;0.9;4.95;4.86;5.96;1.075144962;0.518415225;0.790554667
26;26;to disagree;widersprechen;ellenkezni;2.77;0.733333333;0.147540984;0.866666667;0.587301587;0.55;0.05;2.84;4.9;5.45;1.290895887;1.242333673;0.686900697
27;27;to disconnect;ablösen;lekapcsolódni;2.74;0.733333333;-0.114754098;-0.133333333;-0.46031746;-0.621621622;-0.657142857;3.81;3.12;4.6;0.959152577;1.010892466;0.061995008
28;28;to dispute;streiten;vitatni;2.9;1;0.93442623;0.833333333;0.714285714;0.55;0.5;2.52;4.55;4.14;0.842295261;1.144347194;1.088834652
29;29;to divorce;scheiden;elválni;3.25;0.433333333;0.114754098;0.966666667;0.555555556;0.55;0.7;2.49;5.39;4.02;0.875029414;1.090222419;1.16517367
