Word;rel_freq
bild;370.68127
arbeit;346.92209
weg;321.76207
haus;313.64839
spiel;288.90942
buch;261.80942
geschichte;256.91091
ziel;254.34377
produkt;225.99448
berlin;206.88572
rahmen;205.70946
wasser;198.99282
film;186.4468
artikel;182.53048
raum;181.83464
stelle;180.93888
schule;177.14626
auge;155.53137
regel;155.22296
straße;149.47236
zukunft;147.85289
schritt;147.03236
text;141.56415
kirche;138.32642
auto;131.34459
hotel;130.67916
verein;126.63335
gerät;126.15368
kontakt;123.13698
hund;122.86153
band;121.76575
markt;121.43603
unterstützung;121.07406
modell;119.99953
stück;119.07131
material;114.50212
satz;111.80068
sicherheit;110.32256
reise;107.52158
verbindung;103.42791
studie;99.91263
universität;99.35659
boden;96.43122
begriff;96.02112
licht;94.39496
anlage;93.6441
zug;91.91379
wohnung;91.82896
quelle;90.33964
bank;89.32614
kunst;89.28423
gebäude;89.12067
design;87.96977
bewegung;85.44149
website;83.20406
schutz;80.85289
fuß;80.1831
hintergrund;79.63541
sicht;78.82823
erde;78.62721
gericht;71.75682
kreis;69.55895
haut;69.04227
feld;67.99916
eindruck;67.53614
serie;66.30251
ausgabe;65.82925
zimmer;64.48913
vorstellung;64.26385
gut;63.99831
struktur;63.43236
ebene;63.16167
produktion;62.57982
küche;61.52395
restaurant;59.72457
zeichen;59.31593
geschäft;59.27076
könig;58.62514
hochschule;58.02443
fenster;57.92204
china;56.3676
holz;56.35645
leser;56.0886
haar;55.87923
maschine;55.26667
erinnerung;55.213
datei;54.80015
tisch;54.79085
ansatz;54.13382
wand;54.00443
kontrolle;53.85658
pferd;52.51856
figur;51.89269
behörde;51.83082
szene;51.67131
stein;51.40597
zeitung;51.193
roman;50.40767
schiff;50.27328
öl;50.24497
post;50.13683
motor;49.85738
arm;49.68732
plattform;48.72118
rechnung;48.38837
gewicht;47.4865
bühne;46.16219
brief;45.77081
bett;45.30579
bein;45.28119
sitz;44.92441
büro;44.76436
glas;44.48831
telefon;44.48536
typ;44.27243
wind;44.12843
park;43.77951
blatt;43.68118
instrument;43.52912
ball;43.36737
krankenhaus;42.2965
stil;41.52868
papier;41.42284
rand;41.36787
ecke;40.79387
theater;40.76481
oberfläche;39.7306
personal;37.8647
schreiben;37.69119
rad;37.49502
waffe;37.23608
veröffentlichung;37.06437
union;36.98534
dach;36.88946
lager;36.15705
station;36.12824
sammlung;35.34757
spitze;34.18442
boot;34.16031
institution;34.09989
feuer;33.99395
handeln;33.6964
brücke;33.68769
widerstand;33.54434
flug;32.65984
aktie;32.09309
mund;31.62412
radio;31.31272
finger;31.23329
zeitschrift;30.07458
tasche;29.71096
laden;29.10014
loch;28.41341
nase;28.113
muster;28.09885
kleidung;27.79084
eingang;27.31027
gas;27.25625
zelle;26.89373
kern;26.61338
bibliothek;26.33833
last;26.31002
bar;25.80044
schlüssel;25.6846
fernsehen;24.99006
flasche;24.76253
flugzeug;24.00357
eis;22.82306
schulter;21.41006
kleid;21.24311
brust;20.83021
bildschirm;20.56187
bibel;20.51455
stuhl;19.99877
mode;19.83917
block;19.70657
master;19.55987
konstruktion;19.12992
frühling;18.92615
hitze;18.55932
komfort;18.53171
autobahn;18.45323
pool;18.3667
schuss;18.11056
front;18.04694
reichweite;17.7881
montage;17.20475
center;16.95596
kette;16.94381
schlafzimmer;16.71408
ausrüstung;15.68487
rezension;15.637
messer;15.62875
treppe;15.30664
lkw;15.13027
ufer;14.85318
stahl;14.77755
hut;14.74574
gefängnis;14.58393
anruf;14.47565
saal;14.33985
bindung;13.53937
lautsprecher;13.43348
kammer;13.33015
volumen;13.20645
oper;13.10532
verteidigung;13.08306
führer;12.76245
pilot;12.67912
schaffung;12.39692
königin;11.99403
jack;11.96062
bucht;11.74524
tasse;11.69673
gleichgewicht;11.6139
tuch;11.46795
hügel;11.1981
spalte;10.98043
heim;10.94912
schreibtisch;10.72074
fahren;10.43889
passage;9.94152
notiz;9.79256
treiber;9.72694
referenz;9.63861
kasten;9.08687
objektiv;8.93822
kerl;8.91606
sam;8.74735
lagerung;8.55578
mikrofon;7.84488
erleichterung;7.7385
mantel;7.72319
eisenbahn;7.34296
draht;7.27814
bob;7.20481
fort;6.76781
rakete;6.58705
wörterbuch;6.57679
anzug;6.34351
nacken;6.28284
skala;5.87295
tanzen;5.13429
schimmel;4.99754
base;4.93527
hauptsitz;4.93337
quadrat;4.76976
automobil;4.0062
pistole;3.85724
gewehr;3.3071
gouverneur;2.97964
kehle;2.85039
sekretär;2.82313
avenue;1.82724
unterschlupf;1.77292
messen;1.7231
ändern;1.62177
aufladung;1.5883
veranda;1.49772
arterie;1.25269
baseball;1.19006
ausruhen;0.93498
interferenz;0.77602
planke;0.76082
anode;0.67113
wettrennen;0.65473
bisschen;0.60561
markieren;0.56625
wagon;0.54044
aufzeichnen;0.36643
führen;0.1558
farben;0.1452
planen;0.1312
zurückkehren;0.07798
bewachen;0.05827
speichern;0.04327
drücken;0.03956
tür;0.01611
pike;0.01481
schritte;0.00645
nachweisen;0.0054
bretter;0.0035
maschinen;0.00335
waffen;0.00105
funktioniert;0.00075
unten;0.0005
