Word;rel_freq
school;517.43270
game;509.24758
home;492.10373
book;418.98037
university;378.74814
issue;374.96108
level;374.75050
water;371.39904
product;335.32095
change;333.97022
house;330.28630
site;326.74700
story;322.35009
study;317.17078
market;315.91925
type;285.81114
article;283.82983
support;265.19187
car;258.16013
plan;257.73760
design;257.48462
model;257.05280
job;257.02570
film;251.94034
court;251.07071
term;248.24624
art;248.09151
center;247.47181
room;247.01542
office;246.30357
source;242.83434
control;241.88237
space;239.52610
series;232.46133
field;227.52757
image;224.26803
bit;216.55007
board;215.83892
view;215.39354
file;210.33049
building;210.04634
material;209.95631
road;209.01724
church;206.74469
post;196.60792
eye;196.23008
security;196.09651
street;195.92309
college;192.59308
record;191.40020
note;181.00852
range;178.56333
paper;178.43676
review;178.13611
light;171.83021
leader;169.61015
park;168.19215
goal;167.80907
window;166.98320
step;166.14114
production;165.49903
bank;165.45958
rule;165.06840
staff;160.43072
device;157.26018
piece;153.46157
club;152.97466
table;152.09766
cell;151.43116
approach;150.95324
set;144.85661
picture;144.75169
bill;143.73884
foot;142.53930
plant;142.12117
guy;141.99678
oil;141.01191
figure;139.33677
collection;138.52548
fire;137.49770
ground;137.16264
future;136.59660
text;133.78067
style;133.68844
phone;133.68315
station;133.40718
machine;130.75253
door;130.12612
stage;129.59969
structure;128.98452
call;128.56916
box;128.20988
safety;128.06325
letter;127.83078
movement;124.94053
wall;124.22399
library;124.11461
band;123.66483
store;122.80907
race;122.40271
authority;121.04003
deal;120.53956
top;119.81037
share;119.55442
king;119.54036
front;119.53079
press;118.39649
hospital;116.72186
rest;115.66847
contact;115.16108
return;112.73061
platform;111.65399
dog;111.32433
hotel;110.75316
union;110.53332
base;108.71963
memory;107.40528
earth;106.38155
engine;106.10743
connection;105.53682
reference;105.26420
construction;104.55474
volume;103.42447
bar;102.88670
scene;100.59280
charge;99.62347
equipment;98.96651
protection;98.30642
screen;97.73829
driver;97.58239
surface;97.09939
stock;96.82894
sign;96.06721
gas;95.91867
floor;94.59826
journal;94.46709
weight;94.06366
trip;93.59800
drive;93.45826
master;91.07153
target;90.92703
measure;90.88253
arm;90.22242
radio;89.73873
pattern;88.56555
spring;86.86533
reader;86.68761
path;85.54898
skin;85.30852
hall;84.69359
institution;83.89011
ball;83.71731
background;82.94280
shop;82.64843
hair;82.39707
ship;81.72980
restaurant;80.49533
block;79.75334
spot;77.06242
edge;76.82561
seat;75.89876
bed;75.43608
cup;74.93101
shot;74.42966
hill;74.39021
glass;72.85051
defense;70.81027
flight;70.14195
wood;70.02403
camp;69.96493
scale;69.89764
stone;69.82582
wind;69.39652
weapon;68.83488
key;68.56401
gun;68.25634
heat;67.73728
good;65.58561
storage;65.55305
bay;64.30252
horse;64.21976
bridge;64.13047
boat;63.78362
bag;63.06302
speaker;62.85231
train;62.54316
ice;61.68329
corner;61.29564
novel;61.08277
chair;60.37197
hole;60.30207
frame;59.34438
chain;59.20718
creation;58.08989
leg;58.01708
publication;57.83380
pool;57.75912
lead;57.37137
television;57.20050
balance;56.92148
core;54.86882
secretary;54.42412
dance;54.07604
wheel;53.51268
kitchen;53.23527
bottom;52.00849
motor;51.93164
column;51.42562
steel;51.36733
truck;50.90443
assembly;50.64122
instrument;50.55620
objective;48.14775
newspaper;48.05139
governor;47.69894
sheet;46.87962
guard;46.66660
fashion;45.44538
aircraft;45.43409
load;45.36119
prison;45.28320
mouth;45.16366
circle;43.62695
finger;42.58738
queen;42.09132
resistance;42.00547
pilot;41.83207
plane;41.74931
relief;41.30134
apartment;40.81493
bottle;40.09200
mail;39.23108
highway;38.80012
wire;37.93499
square;37.69115
shoulder;37.54566
Bible;36.99154
proof;35.33881
roof;35.30004
suit;35.21969
comfort;34.56765
avenue;33.65559
chamber;33.47980
bedroom;33.04384
theater;32.69657
passage;31.51369
neck;31.18814
fort;31.10999
dress;30.87958
pocket;29.64658
clothes;29.50442
entrance;29.26883
hat;28.50830
impression;26.51575
desk;26.38217
telephone;26.24004
baseball;25.58276
chest;25.15538
nose;25.14159
notion;24.41141
bureau;22.55268
coat;21.97121
burden;21.86437
opera;21.82076
shelter;21.38184
knife;20.79263
railroad;19.45260
headquarters;19.16515
missile;18.50747
rifle;15.52294
dictionary;14.85684
cloth;14.79176
throat;14.70730
machinery;12.94044
automobile;11.59543
interference;10.79973
mold;10.32673
wagon;9.09338
porch;7.27188
artery;6.52596
pike;4.88106
mantle;3.92162
stairs;0.65453
steps;0.00011
;0.00000
